名称,面数据
大桥公园,"13220166.37,3755288.07,13220138.88,3755294.6,13220119.97,3755300.62,13220094.36,3755317.62,13220071.87,3755343.53,13220054.96,3755368.5,13220041.38,3755396.62,13220036.01,3755425.8,13220018.45,3755492.62,13219994.93,3755546.13,13219973.45,3755579.61,13220010.44,3755628.0,13220066.42,3755711.58,13220140.44,3755795.54,13220223.92,3755859.51,13220338.94,3755930.52,13220421.09,3755807.18,13220586.28,3755574.25,13220616.78,3755533.69,13220626.92,3755521.54,13220631.93,3755507.53,13220629.93,3755482.55,13220621.47,3755476.02,13220607.88,3755464.12,13220512.9,3755393.09,13220387.35,3755321.29,13220226.37,3755229.6,13220201.88,3755269.63,13220191.86,3755278.12,13220166.37,3755288.07"
北极阁公园,"13224786.87,3748908.52,13224769.28,3748914.8,13224739.66,3748924.35,13224722.19,3748928.79,13224682.68,3748966.3,13224649.25,3748984.87,13224628.21,3748995.85,13224593.15,3749026.82,13224575.67,3749049.3,13224561.65,3749064.86,13224534.72,3749080.81,13224509.67,3749089.32,13224494.2,3749097.81,13224486.75,3749104.34,13224475.73,3749118.33,13224474.72,3749127.88,13224483.3,3749166.56,13224494.76,3749181.73,13224520.93,3749193.49,13224574.79,3749209.05,13224607.85,3749223.3,13224691.33,3749236.49,13224792.64,3749243.95,13224839.97,3749242.13,13224874.36,3749245.92,13224933.23,3749271.27,13224975.67,3749280.82,13225003.28,3749295.32,13225045.36,3749327.09,13225055.26,3749336.24,13225078.74,3749346.3,13225137.17,3749352.72,13225180.25,3749349.31,13225197.2,3749344.75,13225213.76,3749328.27,13225215.76,3749311.92,13225204.3,3749279.9,13225175.68,3749231.79,13225145.19,3749148.79,13225112.69,3749112.83,13225078.3,3748982.9,13225070.17,3748962.77,13225062.71,3748951.79,13225046.36,3748952.7,13225019.19,3748954.28,13224977.55,3748951.53,13224960.96,3748954.54,13224941.72,3748959.24,13224931.22,3748961.33,13224918.68,3748958.84,13224907.86,3748952.05,13224892.95,3748939.11,13224879.05,3748928.13,13224843.74,3748914.54,13224813.56,3748909.84,13224786.87,3748908.52"
白马公园,"13227163.35,3748971.92,13227182.38,3749051.93,13227214.0,3749176.89,13227361.48,3749691.43,13227369.29,3749706.86,13227378.95,3749716.0,13227405.44,3749721.88,13227423.48,3749722.94,13227433.49,3749720.45,13227451.45,3749706.98,13227466.36,3749686.85,13227476.26,3749670.13,13227477.94,3749657.31,13227472.49,3749646.33,13227462.23,3749631.29,13227436.94,3749606.32,13227432.93,3749598.88,13227435.62,3749588.68,13227443.95,3749569.33,13227479.82,3749526.32,13227521.46,3749473.63,13227533.48,3749464.36,13227542.5,3749460.83,13227554.52,3749464.62,13227565.66,3749468.01,13227591.71,3749480.3,13227613.51,3749493.9,13227623.41,3749495.47,13227631.55,3749493.52,13227643.81,3749489.59,13227651.02,3749480.7,13227666.05,3749463.7,13227692.34,3749428.81,13227736.75,3749326.97,13227755.02,3749281.99,13227782.15,3749177.94,13227793.61,3749093.36,13227792.61,3748959.24,13227790.09,3748932.58,13227788.6,3748917.93,13227776.94,3748908.38,13227766.92,3748904.48,13227743.0,3748903.94,13227626.98,3748917.01,13227592.91,3748921.99,13227492.97,3748923.43,13227414.82,3748925.12,13227331.42,3748925.9,13227267.42,3748930.88,13227216.09,3748940.15,13227187.71,3748944.08,13227172.0,3748946.03,13227163.67,3748946.83,13227160.34,3748949.58,13227159.78,3748951.67,13227159.78,3748958.2,13227163.35,3748971.92"
红山森林动物园,"13225827.59,3753114.53,13225751.13,3753141.46,13225651.14,3753104.47,13225533.16,3753039.46,13225409.12,3753011.48,13225324.64,3753024.55,13225309.06,3753035.55,13225269.1,3753078.04,13225252.07,3753108.0,13225224.58,3753171.55,13225219.13,3753214.04,13225231.59,3753261.51,13225247.62,3753279.94,13225286.13,3753308.98,13225370.61,3753318.53,13225389.65,3753335.01,13225399.59,3753376.98,13225393.57,3753407.05,13225374.06,3753425.51,13225350.13,3753438.04,13225260.64,3753468.51,13225224.14,3753498.47,13225214.68,3753515.07,13225222.57,3753539.0,13225232.59,3753548.69,13225257.08,3753546.45,13225373.18,3753513.11,13225394.1,3753476.22,13225412.61,3753466.68,13225430.64,3753469.17,13225505.67,3753486.17,13225513.68,3753492.71,13225517.69,3753500.7,13225544.62,3753508.93,13225549.63,3753514.95,13225551.63,3753526.45,13225552.19,3753563.85,13225560.65,3753575.35,13225580.13,3753581.89,13225643.12,3753581.37,13225672.18,3753591.43,13225685.64,3753606.88,13225702.16,3753647.41,13225706.16,3753652.38,13225715.62,3753657.36,13225779.18,3753628.84,13225850.63,3753590.4,13225873.12,3753588.96,13225888.15,3753596.93,13225893.15,3753607.92,13225891.15,3753636.43,13225893.15,3753662.84,13225905.62,3753686.91,13225923.65,3753697.89,13225944.61,3753700.9,13225960.64,3753698.41,13225984.13,3753702.34,13226062.59,3753754.91,13226087.64,3753775.44,13226104.11,3753788.91,13226116.7,3753808.92,13226123.15,3753834.43,13226103.11,3753877.43,13226088.64,3753892.88,13226070.73,3753895.63,13226040.67,3753888.95,13226013.18,3753876.4,13225988.13,3753871.95,13225973.11,3753881.9,13225962.16,3753898.36,13225960.64,3753912.37,13225965.65,3753927.4,13226027.21,3753980.37,13226048.69,3753994.88,13226241.61,3754049.42,13226265.1,3754051.89,13226279.68,3754050.46,13226295.15,3754042.89,13226299.6,3754015.4,13226292.15,3753827.87,13226299.6,3753795.45,13226311.18,3753757.92,13226311.18,3753734.9,13226304.61,3753610.41,13226307.62,3753576.93,13226319.2,3753560.98,13226344.12,3753544.5,13226361.6,3753527.88,13226375.18,3753505.0,13226400.91,3753366.91,13226403.68,3753330.42,13226407.68,3753245.43,13226403.11,3753200.97,13226307.62,3752930.93,13226215.12,3752692.94,13226194.16,3752664.44,13226163.66,3752645.48,13226092.09,3752615.41,13226014.18,3752588.99,13225970.1,3752579.96,13225916.08,3752576.57,13225881.13,3752584.02,13225871.11,3752587.55,13225862.66,3752594.49,13225850.07,3752613.96,13225849.63,3752645.48,13225863.66,3752677.51,13225879.57,3752704.97,13225898.61,3752724.06,13225932.59,3752749.04,13225950.14,3752761.47,13225966.09,3752780.94,13225976.11,3752800.95,13225979.68,3752863.99,13225979.12,3752881.5,13225970.66,3752897.07,13225912.63,3752970.55,13225910.07,3752979.57,13225913.07,3752987.03,13225945.61,3753016.06,13225948.14,3753021.54,13225946.13,3753035.02,13225867.11,3753088.51,13225827.59,3753114.53"
羊山公园,"13241573.68,3756191.07,13241633.67,3756212.02,13241726.77,3756076.5,13241854.21,3755892.08,13241704.72,3755758.01,13241547.19,3755618.97,13241341.24,3755842.49,13241273.23,3755914.58,13241536.73,3756170.03,13241573.68,3756191.07"
莫愁湖公园,"13220852.91,3745660.66,13220850.94,3745697.09,13220863.85,3745756.79,13220955.58,3746053.44,13220970.93,3746087.95,13221012.73,3746119.42,13221104.46,3746193.4,13221144.05,3746223.29,13221164.25,3746236.22,13221172.99,3746235.23,13221185.17,3746229.31,13221233.14,3746198.34,13221259.19,3746180.4,13221323.19,3746118.78,13221336.62,3746153.3,13221366.11,3746194.41,13221486.66,3746305.36,13221541.08,3746340.33,13221581.24,3746357.37,13221607.93,3746382.9,13221622.23,3746385.67,13221631.97,3746381.97,13221643.15,3746346.89,13221662.03,3746303.37,13221683.63,3746276.9,13221705.07,3746238.4,13221759.61,3746126.48,13221773.08,3746073.96,13221792.63,3746030.84,13221797.12,3745951.86,13221809.59,3745902.45,13221806.58,3745881.33,13221818.64,3745849.96,13221853.11,3745772.94,13221862.61,3745730.39,13221864.17,3745707.81,13221863.13,3745666.48,13221866.21,3745633.35,13221856.55,3745608.42,13221846.1,3745592.92,13221828.62,3745584.83,13221777.65,3745582.41,13221733.64,3745571.41,13221634.22,3745605.39,13221604.52,3745604.91,13221570.58,3745442.77,13221550.54,3745417.9,13221463.66,3745440.82,13221446.1,3745377.35,13221432.6,3745370.27,13221245.12,3745418.84,13221238.71,3745422.76,13221237.63,3745434.24,13221248.61,3745477.19,13221199.64,3745494.81,13221135.6,3745536.86,13221014.57,3745559.86,13220950.65,3745582.35,13220901.2,3745605.27,13220874.51,3745623.77,13220860.0,3745639.33,13220852.91,3745660.66"
午朝门公园,"13227519.02,3746395.44,13227521.02,3746397.93,13227538.49,3746397.53,13227594.48,3746391.91,13227665.05,3746384.46,13227671.5,3746382.5,13227675.51,3746372.96,13227653.47,3746135.48,13227649.58,3746125.42,13227634.99,3746111.97,13227616.52,3746104.91,13227592.03,3746104.0,13227563.1,3746107.01,13227529.6,3746114.98,13227513.57,3746121.51,13227504.07,3746132.49,13227499.54,3746147.52,13227497.05,3746167.51,13227519.02,3746395.44"
凤岭公园,"13233867.41,3653891.8,13233859.71,3653910.73,13233861.16,3653953.66,13233864.16,3653977.53,13233873.06,3653987.64,13233882.32,3653990.63,13233934.74,3653994.0,13233968.36,3653989.97,13233987.51,3653977.39,13233997.53,3653947.44,13233997.65,3653923.59,13233996.53,3653894.79,13233986.63,3653883.77,13233965.23,3653879.62,13233936.54,3653878.59,13233900.11,3653880.0,13233876.87,3653884.92,13233867.41,3653891.8"
江苏科技馆,"13220198.55,3749703.71,13220075.56,3749645.28,13220034.0,3749708.29,13220044.02,3749715.75,13220043.5,3749733.26,13220021.98,3749763.2,13220004.07,3749794.7,13219992.49,3749813.28,13219982.03,3749838.23,13220019.54,3749853.28,13220028.55,3749831.69,13220046.03,3749841.24,13220058.05,3749854.31,13220070.55,3749866.75,13220078.57,3749869.22,13220103.05,3749888.31,13220107.5,3749900.33,13220152.03,3749811.82,13220198.55,3749703.71"
九龙公园,"13219832.98,3767682.38,13219827.86,3767717.59,13219799.48,3767866.21,13219794.35,3767883.88,13219798.36,3767891.87,13219806.05,3767897.63,13219868.61,3767910.59,13219883.64,3767911.9,13219892.98,3767907.44,13219895.42,3767896.98,13219929.93,3767733.18,13219932.93,3767702.93,13219934.5,3767694.96,13219931.05,3767689.06,13219923.92,3767686.19,13219857.23,3767667.97,13219846.45,3767667.45,13219840.56,3767668.77,13219835.87,3767672.44,13219832.98,3767682.38"
极乐寺,"13205684.35,3751572.37,13205592.29,3751569.5,13205559.75,3751731.88,13205644.83,3751754.38,13205667.88,3751666.37,13205684.35,3751572.37"
河西中央公园,"13217147.81,3740895.62,13217160.83,3740894.04,13217182.63,3740885.29,13217224.63,3740853.55,13217293.2,3740802.21,13217357.32,3740753.1,13217399.6,3740723.05,13217416.76,3740706.21,13217424.33,3740691.7,13217423.33,3740680.72,13217425.01,3740671.2,13217422.01,3740658.92,13217289.2,3740466.51,13217282.94,3740457.48,13217277.81,3740454.09,13217271.92,3740453.43,13217264.79,3740452.4,13217258.78,3740452.77,13217249.88,3740453.57,13217243.55,3740454.75,13217238.74,3740456.18,13217232.97,3740460.37,13217041.29,3740612.15,13217026.26,3740635.52,13217020.33,3740650.81,13217015.0,3740666.23,13217013.68,3740676.28,13217012.88,3740686.48,13217014.88,3740697.7,13217017.8,3740708.02,13217023.25,3740719.66,13217031.91,3740734.67,13217129.33,3740875.63,13217136.79,3740887.13,13217147.81,3740895.62"
郑和府邸遗址,"13224912.43,3745320.93,13225004.92,3745297.93,13225058.94,3745278.34,13225051.45,3745275.33,13225016.95,3745272.84,13224997.91,3745271.92,13224903.41,3745295.32,13224897.52,3745297.41,13224897.52,3745301.85,13224901.97,3745318.32,13224904.97,3745321.33,13224912.43,3745320.93"
炼油厂公园,"13239711.29,3761173.65,13239739.78,3761180.59,13239754.69,3761180.59,13239764.71,3761178.12,13239772.29,3761178.64,13239785.19,3761170.13,13239791.2,3761150.1,13239790.2,3761133.62,13239794.21,3761131.13,13239797.21,3761127.08,13239812.8,3761117.65,13239821.74,3761115.16,13239916.8,3761114.13,13239935.27,3761111.64,13239943.73,3761109.14,13239956.31,3761103.66,13239957.76,3760974.62,13239956.31,3760966.13,13239945.73,3760960.63,13239936.27,3760961.15,13239885.3,3760989.15,13239882.29,3760992.16,13239875.28,3760991.64,13239850.79,3760954.1,13239843.78,3760951.09,13239721.75,3760948.6,13239712.29,3760954.1,13239708.73,3761169.09,13239711.29,3761173.65"
南京市规划建设展览馆,"13223941.72,3750486.68,13223942.16,3750534.13,13223950.74,3750576.62,13223957.63,3750581.6,13223961.2,3750589.17,13223964.64,3750591.66,13223976.67,3750592.7,13223995.02,3750593.88,13224072.73,3750587.22,13224085.19,3750589.17,13224087.19,3750582.12,13224083.63,3750549.18,13224080.62,3750534.13,13224078.62,3750519.62,13224081.18,3750493.21,13224022.63,3750490.21,13223987.13,3750486.68,13223941.72,3750486.68"
求雨山文化名人纪念馆,"13205636.38,3748208.02,13205457.36,3748173.5,13205350.84,3748154.43,13205322.3,3748156.52,13205298.82,3748168.02,13205171.38,3748235.98,13205154.91,3748251.94,13205150.34,3748266.97,13205087.34,3748521.98,13205084.34,3748552.97,13205084.86,3748569.97,13205116.4,3748734.92,13205120.85,3748747.99,13205135.87,3748758.97,13205188.85,3748776.49,13205239.39,3748790.48,13205353.84,3748823.43,13205405.82,3748837.42,13205418.85,3748831.54,13205513.34,3748715.97,13205529.82,3748680.93,13205569.89,3748594.92,13205609.33,3748518.45,13205612.33,3748494.94,13205603.83,3748455.46,13205601.83,3748426.44,13205602.39,3748408.92,13205615.34,3748358.98,13205630.89,3748302.52,13205642.83,3748262.01,13205648.84,3748227.49,13205644.83,3748212.98,13205636.38,3748208.02"
石羊公园,"13231935.89,3736450.66,13231930.64,3736466.34,13231915.61,3736512.44,13231913.17,3736526.01,13231915.61,3736532.66,13231918.38,3736538.28,13231923.19,3736543.9,13231928.08,3736549.52,13232005.22,3736564.27,13232035.28,3736569.75,13232043.09,3736570.67,13232048.54,3736569.49,13232054.43,3736564.27,13232058.56,3736559.57,13232060.33,3736552.0,13232066.22,3736482.52,13232064.13,3736473.4,13232062.21,3736468.03,13232057.44,3736463.33,13232050.19,3736458.63,13232044.3,3736456.28,13232022.13,3736449.48,13231964.14,3736441.27,13231952.44,3736439.04,13231944.79,3736439.95,13231940.66,3736442.96,13231935.89,3736450.66"
凤凰山公园,"13230127.69,3786613.38,13230103.32,3786642.75,13230092.74,3786673.05,13230085.05,3786722.35,13230103.44,3786795.79,13230122.56,3786842.74,13230143.72,3786878.67,13230166.0,3786899.12,13230198.06,3786907.25,13230204.07,3786929.15,13230203.71,3786969.55,13230203.39,3786989.36,13230213.97,3786997.89,13230237.89,3786997.89,13230260.94,3787014.27,13230267.19,3787037.09,13230263.82,3787066.46,13230247.71,3787107.92,13230246.15,3787142.39,13230259.74,3787156.04,13230281.42,3787156.96,13230310.03,3787125.21,13230576.53,3786794.87,13230583.99,3786767.99,13230585.11,3786743.99,13230569.64,3786709.64,13230533.89,3786692.2,13230532.13,3786693.23,13230499.39,3786677.63,13230469.21,3786665.69,13230438.39,3786658.36,13230322.37,3786653.24,13230307.91,3786650.75,13230303.14,3786641.18,13230307.27,3786631.33,13230319.05,3786614.95,13230311.15,3786600.27,13230275.85,3786591.34,13230229.44,3786589.9,13230193.81,3786589.76,13230156.86,3786598.03,13230127.69,3786613.38"
南京博物院,"13228540.98,3746802.89,13228519.22,3746456.78,13228512.85,3746344.36,13228453.46,3746340.91,13228287.58,3746353.67,13228285.02,3746390.46,13228301.33,3746480.85,13228317.44,3746616.35,13228335.47,3746634.41,13228346.89,3746809.48,13228540.98,3746802.89"
情侣园,"13226168.91,3751064.28,13226173.92,3751094.35,13226189.39,3751141.82,13226218.45,3751180.27,13226244.94,3751198.82,13226276.44,3751212.81,13226311.94,3751220.26,13226337.43,3751221.32,13226342.88,3751222.87,13226352.38,3751221.32,13226392.9,3751137.76,13226431.97,3751052.26,13226502.86,3750897.85,13226562.86,3750774.83,13226597.36,3750698.34,13226609.38,3750689.32,13226617.88,3750686.31,13226637.92,3750688.8,13226675.87,3750703.31,13226685.89,3750702.79,13226694.9,3750697.31,13226772.37,3750525.76,13226805.43,3750452.82,13226815.89,3750436.34,13226820.9,3750432.29,13226832.36,3750430.34,13226997.91,3750500.79,13227011.38,3750502.36,13227020.96,3750497.26,13227086.4,3750357.78,13227143.95,3750225.87,13227178.37,3750145.33,13227228.91,3750029.37,13227288.9,3749892.36,13227289.9,3749877.33,13227279.44,3749867.78,13227183.94,3749848.31,13227012.38,3749810.27,13226961.41,3749792.35,13226913.44,3749771.83,13226895.4,3749771.83,13226884.9,3749779.28,13226798.42,3749901.38,13226713.94,3750021.79,13226649.38,3750125.33,13226586.34,3750233.32,13226538.37,3750312.8,13226458.9,3750462.36,13226418.38,3750543.3,13226378.43,3750628.79,13226338.43,3750724.89,13226310.38,3750794.82,13226287.9,3750839.8,13226259.97,3750888.82,13226233.92,3750938.77,13226198.41,3751005.33,13226183.94,3751022.85,13226175.93,3751033.31,13226169.92,3751048.34,13226168.91,3751064.28"
沁园,"13219519.39,3742017.8,13219527.85,3742022.76,13219536.87,3742022.76,13219647.28,3741961.22,13219741.37,3741903.74,13219747.82,3741897.73,13219750.39,3741887.28,13219682.34,3741766.69,13219669.8,3741760.29,13219657.29,3741756.77,13219629.8,3741755.19,13219619.78,3741758.72,13219604.31,3741771.79,13219598.3,3741780.28,13219594.86,3741794.27,13219592.29,3741810.74,13219598.3,3741850.69,13219603.31,3741864.28,13219608.32,3741879.31,13219620.79,3741902.71,13219620.34,3741915.24,13219617.34,3741920.72,13219576.82,3741943.2,13219513.82,3741978.74,13219506.81,3741985.27,13219505.37,3741990.75,13219519.39,3742017.8"
江苏省五环彩票博物馆,"13220977.78,3747425.61,13221025.87,3747365.6,13221026.87,3747349.14,13221029.88,3747340.11,13221044.39,3747308.09,13221020.34,3747304.04,13220944.28,3747395.53,13220977.78,3747425.61"
原国民政府旧址,"13223153.36,3749708.55,13223260.88,3749820.99,13223336.9,3749698.49,13223402.35,3749544.5,13223422.86,3749484.09,13223388.32,3749475.6,13223245.41,3749618.49,13223229.94,3749620.56,13223221.93,3749632.46,13223161.89,3749696.0,13223153.36,3749708.55"
南京国际博览中心,"13215932.56,3739783.46,13215887.36,3739812.04,13215725.61,3740041.22,13215710.94,3740065.69,13215712.47,3740092.06,13215737.03,3740133.51,13216045.37,3740479.68,13216165.84,3740634.97,13216186.72,3740654.99,13216211.09,3740660.75,13216238.86,3740655.95,13216410.66,3740515.55,13216416.47,3740491.97,13216417.67,3740465.03,13216391.47,3740417.7,13216293.08,3740206.71,13216261.22,3740136.82,13216084.85,3739794.96,13216049.66,3739785.25,13216012.91,3739778.02,13215976.92,3739777.74,13215932.56,3739783.46"
国民大会堂旧址,"13224842.42,3747130.74,13224890.95,3747119.76,13224886.38,3747100.29,13224889.38,3747098.31,13224863.9,3747000.3,13224804.46,3747015.33,13224842.42,3747130.74"
小桃园,"13219742.69,3752119.3,13219737.0,3752147.02,13219719.97,3752205.07,13219709.51,3752221.04,13219695.49,3752237.52,13219680.46,3752261.57,13219675.57,3752335.97,13219674.57,3752463.59,13219678.81,3752480.19,13219689.03,3752486.07,13219699.17,3752487.13,13219713.2,3752480.45,13219722.54,3752468.56,13219725.98,3752452.61,13219724.78,3752347.35,13219727.43,3752316.36,13219735.56,3752296.75,13219747.94,3752278.05,13219768.98,3752266.67,13219795.47,3752254.12,13219826.73,3752235.43,13219847.13,3752203.12,13219853.46,3752179.98,13219855.67,3752150.43,13219849.22,3752121.79,13219841.0,3752091.2,13219832.42,3752064.14,13219826.29,3752045.96,13219826.85,3752033.27,13219830.54,3752018.5,13219840.64,3752000.18,13219861.36,3751961.36,13219868.81,3751907.87,13219872.06,3751847.61,13219866.93,3751774.65,13219857.91,3751680.5,13219856.03,3751654.88,13219848.21,3751628.85,13219823.73,3751576.41,13219799.68,3751535.76,13219768.62,3751518.24,13219738.45,3751510.01,13219714.76,3751490.12,13219704.3,3751464.23,13219712.2,3751425.41,13219744.46,3751316.5,13219779.2,3751238.44,13219829.98,3751135.69,13219844.13,3751120.24,13219863.48,3751111.49,13219871.82,3751099.59,13219876.51,3751086.0,13219872.94,3751069.0,13219848.57,3751035.92,13219721.09,3750956.3,13219706.95,3750945.44,13219693.16,3750941.78,13219673.12,3750943.75,13219571.81,3750962.56,13219556.02,3750965.97,13219559.03,3751010.03,13219565.48,3751031.99,13219576.5,3751061.55,13219623.03,3751133.97,13219631.04,3751153.06,13219638.94,3751208.51,13219642.51,3751241.05,13219634.93,3751264.98,13219626.04,3751287.21,13219620.46,3751316.5,13219619.46,3751354.03,13219626.04,3751411.02,13219641.5,3751454.57,13219652.85,3751490.52,13219664.55,3751535.36,13219679.01,3751574.6,13219694.16,3751599.95,13219719.53,3751629.64,13219741.93,3751655.91,13219752.83,3751683.37,13219780.01,3751805.5,13219790.46,3751850.34,13219790.1,3751880.29,13219787.02,3751913.63,13219772.51,3751949.07,13219756.72,3751975.47,13219746.02,3751995.08,13219744.58,3752010.39,13219743.58,3752031.97,13219744.94,3752060.73,13219746.82,3752089.77,13219742.69,3752119.3"
南京栖霞山风景名胜区,"13242979.68,3761902.56,13243005.17,3761947.58,13243025.65,3761970.59,13243156.66,3762071.49,13243192.61,3762094.53,13243243.18,3762102.5,13243308.62,3762101.07,13243358.16,3762087.6,13243439.63,3762038.51,13243496.66,3762018.5,13243514.69,3762015.49,13243533.17,3762019.02,13243555.65,3762027.53,13243575.13,3762045.59,13243587.15,3762075.02,13243597.17,3762101.59,13243629.11,3762225.01,13243694.67,3762354.05,13243780.63,3762457.04,13243844.19,3762526.53,13243928.11,3762597.58,13244009.62,3762644.05,13244112.7,3762681.48,13244193.61,3762717.59,13244302.7,3762750.06,13244569.68,3762766.02,13245233.69,3762724.53,13245344.66,3762705.04,13245443.64,3762674.01,13245797.63,3762519.98,13245839.15,3762488.05,13245851.61,3762462.52,13245859.63,3762352.07,13245858.63,3762335.59,13245852.17,3762316.08,13245823.68,3762287.56,13245801.64,3762271.06,13245771.7,3762253.01,13245754.11,3762241.09,13245713.15,3762205.5,13245682.65,3762163.49,13245654.72,3762109.98,13245638.69,3762050.55,13245646.71,3761974.52,13245695.12,3761853.99,13245745.21,3761762.54,13245751.66,3761719.07,13245749.22,3761689.5,13245731.19,3761652.99,13245703.69,3761613.47,13245621.66,3761546.09,13245489.61,3761462.07,13245364.7,3761403.57,13245319.17,3761381.08,13245264.63,3761349.53,13245204.63,3761309.49,13245094.67,3761236.07,13245015.16,3761182.04,13244953.16,3761124.99,13244900.62,3761067.01,13244870.69,3761020.56,13244842.19,3760965.48,13244818.67,3760881.99,13244809.65,3760838.55,13244803.64,3760780.06,13244809.13,3760715.55,13244819.67,3760659.55,13244883.71,3760537.98,13244932.12,3760492.98,13244980.65,3760458.02,13245018.6,3760423.09,13245028.62,3760394.05,13245033.63,3760363.04,13245026.18,3760320.51,13245028.62,3760259.53,13245034.63,3760195.56,13245030.19,3760120.97,13245017.6,3760058.03,13245007.14,3760034.1,13244990.11,3760017.1,13244971.64,3760005.58,13244954.6,3760000.08,13244859.66,3760010.02,13244491.61,3760070.09,13244281.14,3760140.99,13244076.63,3760234.54,13243910.64,3760303.5,13243745.65,3760380.04,13243619.65,3760445.47,13243446.64,3760548.06,13243262.66,3760663.59,13243106.12,3760778.08,13243045.69,3760841.56,13243001.17,3760928.57,13242975.2,3761009.58,13242946.14,3761170.01,13242937.69,3761291.04,13242944.7,3761498.06,13242957.16,3761760.56,13242967.18,3761830.57,13242979.68,3761902.56"
中山植物园,"13228719.6,3748374.66,13228676.84,3748382.38,13228576.21,3748400.69,13228526.55,3748406.57,13228504.51,3748408.66,13228470.57,3748409.18,13228422.6,3748404.6,13228389.09,3748406.57,13228350.58,3748410.62,13228317.28,3748421.74,13228229.23,3748469.45,13228187.03,3748493.1,13228174.57,3748504.6,13228168.12,3748518.59,13228166.11,3748535.59,13228167.56,3748560.16,13228174.01,3748583.68,13228184.59,3748607.61,13228264.5,3748718.2,13228345.45,3748771.39,13228410.45,3748805.13,13228464.68,3748902.12,13228631.31,3749041.07,13228735.51,3749080.29,13228928.75,3749127.88,13229058.47,3749148.93,13229201.18,3749139.64,13229458.75,3749130.09,13229695.67,3749101.59,13229791.17,3749013.63,13229891.92,3748910.1,13229928.75,3748863.42,13229944.22,3748829.82,13229937.89,3748773.36,13229912.96,3748669.17,13229895.81,3748603.55,13229792.18,3748449.58,13229755.23,3748409.7,13229755.31,3748379.39,13229762.32,3748346.82,13229813.54,3748306.57,13229850.85,3748276.63,13229858.42,3748252.2,13229855.49,3748221.35,13229835.14,3748115.61,13229827.0,3748052.59,13229772.58,3748016.66,13229753.54,3747999.14,13229734.51,3747970.13,13229720.6,3747941.11,13229696.11,3747848.16,13229684.53,3747792.1,13229684.53,3747736.16,13229689.54,3747725.18,13229688.1,3747702.16,13229642.01,3747658.12,13229606.03,3747623.08,13229594.56,3747613.16,13229585.55,3747617.6,13229579.66,3747637.33,13229585.11,3747684.13,13229586.99,3747715.63,13229593.0,3747741.12,13229593.0,3747752.62,13229585.11,3747766.21,13229569.52,3747776.54,13229496.74,3747806.35,13229317.6,3747889.07,13229290.11,3747905.16,13229270.07,3747918.63,13229252.6,3747934.17,13229117.1,3748076.53,13229100.55,3748101.1,13229052.1,3748182.53,13229011.02,3748230.1,13228926.11,3748286.18,13228831.05,3748347.1,13228799.51,3748357.68,13228719.6,3748374.66"
天印公园,"13229730.62,3734904.15,13229760.88,3734914.07,13230207.08,3735015.39,13230231.0,3735019.44,13230243.79,3735018.92,13230251.48,3735013.04,13230260.62,3734996.2,13230286.99,3734900.22,13230306.14,3734824.37,13230313.16,3734778.93,13230314.92,3734746.69,13230314.6,3734696.81,13230313.6,3734681.92,13230311.83,3734674.61,13230304.58,3734671.36,13230293.24,3734669.38,13230261.62,3734679.57,13230200.06,3734699.42,13229783.72,3734837.56,13229743.2,3734852.43,13229710.14,3734862.89,13229702.69,3734868.89,13229700.68,3734877.38,13229702.57,3734888.74,13229716.71,3734899.3,13229730.62,3734904.15"
二桥公园,"13230488.05,3760766.19,13230446.53,3760874.14,13230413.47,3760963.64,13230365.01,3761055.12,13230336.52,3761146.17,13230322.49,3761200.62,13230320.93,3761220.11,13230329.95,3761269.19,13230344.54,3761308.17,13230370.02,3761335.66,13230416.47,3761365.63,13230521.99,3761415.09,13230632.52,3761470.18,13230696.0,3761502.64,13230791.5,3761570.68,13230886.44,3761650.12,13230985.54,3761724.71,13231028.5,3761772.2,13231104.97,3761880.69,13231129.01,3761901.64,13231144.92,3761903.59,13231172.45,3761895.08,13231247.48,3761845.1,13231359.45,3761757.69,13231406.98,3761712.14,13231431.46,3761682.7,13231433.47,3761669.09,13231429.02,3761658.63,13231422.0,3761646.19,13231407.98,3761631.66,13231366.02,3761603.66,13231316.04,3761562.17,13231261.94,3761498.2,13231166.96,3761390.1,13231078.48,3761280.17,13231018.04,3761195.64,13230872.53,3761009.7,13230862.51,3760996.63,13230850.49,3760994.13,13230837.02,3760985.11,13230820.99,3760959.72,13230799.39,3760910.51,13230654.48,3760714.63,13230588.35,3760629.06,13230557.38,3760664.39,13230523.31,3760711.62,13230502.51,3760743.15,13230488.05,3760766.19"
明岐阳王陵园,"13228644.9,3751606.49,13228649.46,3751611.99,13228656.36,3751615.0,13228662.93,3751615.4,13228686.41,3751615.0,13228699.44,3751613.42,13228746.89,3751609.9,13228928.43,3751612.9,13228932.88,3751614.48,13228937.45,3751611.99,13228940.45,3751607.94,13228944.9,3751542.44,13228940.89,3751532.89,13228934.88,3751530.92,13228868.44,3751533.93,13228716.91,3751542.95,13228655.92,3751546.48,13228647.46,3751548.43,13228644.45,3751553.42,13228642.89,3751565.97,13228644.9,3751606.49"
