roadname	linkid	linkLoc	linkSpeed	linkCongestIndex	linkLength	Roadlength	RoadCongestLength	RoadCongestIndex	RoadAvgSpeed	title
东五环路-南向北-广渠路至朝阳北路_131_morning	15259340680	116.550405,39.919548,116.550362,39.919919	19.45579372	4.002406745	0.041	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15259383180	116.550485,39.918874,116.550405,39.919548	19.45579372	4.002406745	0.075	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15259414610	116.550362,39.919919,116.55027,39.921003,116.550244,39.921397	19.45579372	4.11085773	0.164	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15337225770	116.55354,39.901832,116.553335,39.902846	13.93529526	5.67192862	0.114	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15419967590	116.550656,39.917201,116.550508,39.918552,116.550485,39.918874	14.16482981	5.980304821	0.186	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15625514320	116.550125,39.923249,116.549992,39.925577	19.80691721	4.170260275	0.259	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15625517110	116.550157,39.922778,116.55014,39.922999,116.550125,39.923249	20.22472703	4.084109509	0.052	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15639702590	116.551973,39.909559,116.551893,39.909992,116.55185,39.910184,116.551743,39.910741,116.551726,39.910829,116.551608,39.911465,116.551575,39.911645	15.92854935	5.281711356	0.233	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685153270	116.551973,39.909559,116.551893,39.909992,116.55185,39.910184,116.551743,39.910741,116.551726,39.910829,116.551608,39.911465	19.56821203	4.073443188	0.213	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685154060	116.551575,39.911645,116.551399,39.912433,116.551251,39.913088,116.55121,39.913322,116.551111,39.913888,116.551064,39.914155	12.47165022	6.745699129	0.282	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685154200	116.554271,39.897085,116.554242,39.897277,116.554149,39.897909,116.553972,39.899107,116.553951,39.899246,116.553942,39.89931,116.553926,39.899417,116.553888,39.899674	17.67420263	4.637267193	0.289	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685155430	116.553335,39.902846,116.553218,39.90342,116.553061,39.904154,116.553011,39.904383	13.83437313	5.713305492	0.173	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685156000	116.550711,39.916698,116.550665,39.917114,116.550656,39.917201	13.15339174	6.440164004	0.056	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685156130	116.553888,39.899674,116.55374,39.900677,116.553706,39.900904,116.553657,39.901239,116.55365,39.901287,116.55354,39.901832	12.38444175	6.617980984	0.241	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685156630	116.552467,39.907029,116.552201,39.908353,116.552053,39.909124,116.551973,39.909559	19.32519424	4.124667468	0.283	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
